utilization.gpu [%], memory.used [MiB]
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 29 MiB
0 %, 47 MiB
2 %, 483 MiB
1 %, 5143 MiB
60 %, 5171 MiB
56 %, 5171 MiB
58 %, 5171 MiB
57 %, 5171 MiB
57 %, 5171 MiB
57 %, 5171 MiB
58 %, 5171 MiB
58 %, 5171 MiB
58 %, 5171 MiB
58 %, 5171 MiB
62 %, 5171 MiB
62 %, 5171 MiB
62 %, 5171 MiB
61 %, 5171 MiB
61 %, 5171 MiB
62 %, 5171 MiB
63 %, 5171 MiB
67 %, 5171 MiB
74 %, 5171 MiB
72 %, 5171 MiB
73 %, 5171 MiB
57 %, 5171 MiB
56 %, 5171 MiB
58 %, 5171 MiB
59 %, 5171 MiB
57 %, 5171 MiB
58 %, 5171 MiB
58 %, 5171 MiB
58 %, 5171 MiB
59 %, 5171 MiB
58 %, 5171 MiB
59 %, 5171 MiB
65 %, 5171 MiB
66 %, 5173 MiB
67 %, 5173 MiB
70 %, 5173 MiB
75 %, 5173 MiB
72 %, 5173 MiB
72 %, 5173 MiB
49 %, 5173 MiB
58 %, 5173 MiB
57 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
61 %, 5173 MiB
62 %, 5173 MiB
62 %, 5173 MiB
62 %, 5173 MiB
65 %, 5173 MiB
65 %, 5173 MiB
51 %, 5173 MiB
58 %, 5173 MiB
57 %, 5173 MiB
56 %, 5173 MiB
57 %, 5173 MiB
57 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
59 %, 5173 MiB
61 %, 5173 MiB
62 %, 5173 MiB
64 %, 5173 MiB
66 %, 5173 MiB
66 %, 5173 MiB
70 %, 5173 MiB
73 %, 5173 MiB
74 %, 5173 MiB
57 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
57 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
61 %, 5173 MiB
61 %, 5173 MiB
61 %, 5173 MiB
61 %, 5173 MiB
61 %, 5173 MiB
62 %, 5173 MiB
66 %, 5173 MiB
66 %, 5173 MiB
70 %, 5173 MiB
75 %, 5173 MiB
72 %, 5173 MiB
73 %, 5173 MiB
60 %, 5173 MiB
60 %, 5173 MiB
60 %, 5173 MiB
60 %, 5173 MiB
60 %, 5173 MiB
61 %, 5173 MiB
59 %, 5173 MiB
61 %, 5173 MiB
60 %, 5173 MiB
61 %, 5173 MiB
61 %, 5173 MiB
64 %, 5173 MiB
70 %, 5173 MiB
69 %, 5173 MiB
70 %, 5173 MiB
75 %, 5173 MiB
73 %, 5173 MiB
57 %, 5173 MiB
58 %, 5173 MiB
56 %, 5173 MiB
58 %, 5173 MiB
57 %, 5173 MiB
57 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
58 %, 5173 MiB
