Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-4.58988375770177	0.466172897714087	-9.84588289067985	7.14094657791653e-23
prompt.L	-0.0572680741050061	0.164052812325134	-0.349083159827258	0.727026878812048
industry11	2.02038677545736	0.626981145340016	3.22240435852611	0.00127119597049717
industry13	1.05180849637551	0.665492141984779	1.58049724409754	0.113993037528527
industry15	-0.0104560166574057	0.744728388432336	-0.0140400403956881	0.988798036563385
industry17	-1.01809189811554	0.66750948003587	-1.52520964655188	0.127206815283114
industry19	1.29855267203424	0.626167477530353	2.07381047184983	0.0380969162437006
industry21	1.47839664644806	1.01329167462311	1.45900403948147	0.144563995888972
industry23	-0.802956917391937	1.43916184004219	-0.557933718815389	0.576889645417779
industry25	2.94220052619605	0.608749666850771	4.83318626097467	1.34364962679664e-06
industry27	0.799976796845932	0.711228390389204	1.12478186705703	0.260681480168092
industry29	2.66324251057085	0.565930713234699	4.7059515383933	2.5268454436197e-06
industry31	4.48556344366616	0.828756481772295	5.41240224640389	6.21848037197806e-08
industry33	-0.572196782130275	0.838579869649293	-0.682340231192977	0.49502383947422
industry35	0.489520497331151	0.974421873869831	0.502370185294654	0.615407147414626
industry37	-2.3901745978616	1.52083360040181	-1.57162137740125	0.116038385698991
industry39	1.27997464252091	0.754400790951233	1.69667722764047	0.0897577002836585
industry41	2.3845185380373	0.825094494591957	2.88999448386399	0.00385248586380328
industry43	0.941244352238673	0.66492719195467	1.41556002465732	0.156904362436204
industry45	0.364041709701095	1.11174545330112	0.327450594576431	0.743327104761653
industry49	-0.506672050384768	0.679791898139306	-0.74533405262935	0.456069800152361
industry51	-1.32921117842183	0.575291018752471	-2.31050222425557	0.0208603655385769
industry53	-0.380119638424503	0.667522962931893	-0.569448033300521	0.569052127627994
prompt.L:industry11	1.55273779332501	0.220295031533373	7.04844672400056	1.80925995214982e-12
prompt.L:industry13	2.55474485973137	0.277831340526992	9.19530840144065	3.73920434601079e-20
prompt.L:industry15	2.08165318899198	0.344329515646362	6.04552643442252	1.48922929610421e-09
prompt.L:industry17	0.921764766732087	0.301031789576837	3.06201802815516	0.00219850210994719
prompt.L:industry19	1.34586314003206	0.223285518442604	6.02754334190294	1.66470616853028e-09
prompt.L:industry21	2.49482346112962	0.467910363690036	5.33184057188845	9.72222772874522e-08
prompt.L:industry23	0.736388261242878	0.608128633362644	1.21090871378811	0.225930392630717
prompt.L:industry25	1.60432093269779	0.214610662653858	7.47549498640413	7.6913791166554e-14
prompt.L:industry27	0.15399363726292	0.247195031120335	0.622964129032008	0.533308094406521
prompt.L:industry29	1.18720886827125	0.194412630177401	6.1066447544479	1.01747357484132e-09
prompt.L:industry31	1.07430925025658	0.25056286047192	4.28758375536254	1.80627159963248e-05
prompt.L:industry33	0.456701725363819	0.330644799560854	1.3812457536619	0.167203411155804
prompt.L:industry35	-0.278509917478335	0.351262979958533	-0.792881497250902	0.427846868390492
prompt.L:industry37	1.57206466545362	0.882278730700561	1.78182314811708	0.0747780761601585
prompt.L:industry39	0.668328303662363	0.254499723709394	2.62604726606897	0.00863828212312016
prompt.L:industry41	1.34212182224327	0.273764949759147	4.90246038955696	9.4643703324797e-07
prompt.L:industry43	1.84375613443491	0.256599081814273	7.18535748997507	6.70315610269975e-13
prompt.L:industry45	0.844161442745138	0.38375957484044	2.19971434744299	0.0278271682125613
prompt.L:industry49	0.753537877937594	0.259280889999677	2.9062607658379	0.00365776481669532
prompt.L:industry51	0.622115886001169	0.234141613132394	2.6570069184985	0.0078837825079498
prompt.L:industry53	0.0287192679346464	0.259174882866963	0.110810382614847	0.911766711924205
