"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.64931877373116,0.277478887255111,-13.1516988907917,1.66393337595598e-39
"prompt.L",1.50230141132644,0.0837897839126554,17.929410259519,6.95130824406922e-72
"zone1",-1.62546565308801,0.773824712211097,-2.10056053708012,0.0356795612653249
"zone2",-1.05189154233536,0.354171997394969,-2.97000200487986,0.00297797805509547
"zone4",1.43324238559005,0.361030270514001,3.96986763339686,7.19125707562639e-05
"zone5",1.9644150493108,0.39429944524757,4.9820385825737,6.29178855100831e-07
"prompt.L:zone1",-0.646810461786054,0.25868780276663,-2.50035160092013,0.0124070101343171
"prompt.L:zone2",0.219198370449958,0.12278361048651,1.78524128408849,0.074222188196336
"prompt.L:zone4",-0.158204127847459,0.108810700359772,-1.45393906412121,0.145963201182987
"prompt.L:zone5",-0.970253620916809,0.109605781058324,-8.85221209637212,8.58014477022368e-19
