Orderlies,Radiologic Technologists and Technicians,Clinical and Counseling Psychologists,Nuclear Technicians,New Accounts Clerks
"When transferring a patient from a bed to a wheelchair, which step ensures patient safety?","When positioning a patient for a chest X-ray, which adjustment ensures the clavicles are out of the lung field?",A client reports suicidal ideation but with no immediate plan or intent. What is your next step?,You notice a sudden spike in radiation levels in a reactor's containment area. What should you do first?,"A client complains that their account opening process is taking too long, citing poor service. Investigation reveals the delay is due to missing documents on their part. How do you handle this situation?"
a) Lock the wheelchair brakes before the transfer.,a) Angle the X-ray tube cephalad.,a) Document the session and schedule a follow-up.,a) Evacuate the facility and alert authorities.,a) Apologize for the delay and expedite the process without additional documents.
b) Use a gait belt only if the patient requests it.,b) Position the patient in a prone position.,b) Refer the client to a psychiatrist immediately.,b) Conduct a detailed inspection of the area.,b) Explain the situation to the client and guide them to provide the missing documents.
c) Place the wheelchair at a 90-degree angle to the bed.,c) Align the X-ray beam perpendicular to the sternum.,c) Conduct a thorough risk assessment and safety planning.,c) Notify the radiation safety officer and initiate containment protocols.,c) Forward the complaint to your manager and let them handle it.
d) Rely on the patient’s arm strength for support.,d) Ask the patient to roll their shoulders forward.,d) Contact emergency services as a precaution.,d) Shut down the reactor immediately.,d) Suggest the client seek an alternative banking service.
Answer: a,Answer: d,Answer: c,Answer: c) Notify the radiation safety officer and initiate containment protocols.,Answer: b) Explain the situation to the client and guide them to provide the missing documents.
(Reason: Locking brakes prevents wheelchair movement during the transfer.),(Reason: Rolling shoulders forward moves the clavicles out of the lung field.),(Reason: Risk assessment and safety planning are standard practice before escalation.),(Reason: Protocol prioritizes containment and safety officer involvement before drastic actions.),
,,,,
"If a patient falls in a hallway, what is your immediate action?",What is the recommended protocol when imaging a pediatric patient who cannot remain still?,Which of the following is required under the Health Insurance Portability and Accountability Act (HIPAA) in the U.S.?,Which material is most effective for shielding against gamma radiation in routine maintenance areas?,A prospective client mentions their involvement in cryptocurrency trading. This triggers enhanced due diligence (EDD) under your bank’s policy. What is the most appropriate next step?
a) Help the patient up quickly to prevent embarrassment.,a) Use sedation to keep the patient immobile.,a) Sharing client notes with family members upon request.,a) Aluminum,a) Open the account after completing standard procedures.
b) Call for assistance and assess the patient’s condition.,b) Use the shortest possible exposure time and immobilization devices.,b) Storing therapy notes separately from medical records.,b) Concrete,b) Escalate the case to the compliance department for further review.
c) Move the patient to a safer area before assessing.,c) Allow a parent to hold the child during the procedure without protective gear.,c) Reporting every session to insurance providers.,c) Lead,c) Decline the account application due to high-risk factors.
d) Document the incident before intervening.,d) Perform the imaging procedure despite movement for efficiency.,d) Disclosing client details in group therapy for context.,d) Steel,d) Request additional documentation but proceed with the account setup.
Answer: b,Answer: b,Answer: b,Answer: c) Lead,Answer: b) Escalate the case to the compliance department for further review.
(Reason: Safety and assessment take priority before moving or documentation.),(Reason: Short exposure time and immobilization reduce radiation and ensure safety.),(Reason: Therapy notes must be stored separately to maintain client confidentiality.),(Reason: Lead is highly effective at attenuating gamma radiation due to its density.),
,,,,
"When feeding a patient with dysphagia, which action minimizes aspiration risk?",A fluoroscopy exam shows unusually high patient skin dose readings. What should you do?,A psychologist suspects child abuse during a session with a minor. What should they do?,A reactor coolant pump begins to show irregular vibration patterns. What is the most logical next step?,Your team is measured on account setup speed and client satisfaction. A new policy adds additional compliance checks that could slow down the process. How do you balance these competing priorities?
a) Allow the patient to eat at their own pace without supervision.,a) Stop the procedure immediately and report the incident.,a) Address the issue only if the client initiates further discussion.,a) Increase coolant flow to stabilize the pump.,a) Prioritize compliance even if it affects client satisfaction metrics.
b) Position the patient upright at a 90-degree angle.,b) Continue the procedure but decrease the fluoroscopy time.,b) Report the suspicion to child protective services as mandated.,b) Immediately shut down the reactor.,b) Optimize internal processes to complete compliance checks more efficiently.
