Estimate	Std. Error	z value	Pr(>|z|)
(Intercept)	-5.51814825708297	0.342467460319668	-16.1129126017759	2.07037865798387e-58
prompt.L	1.26166409779855	0.201354251929891	6.26589250391318	3.70696001928489e-10
industry11	3.70956091154332	0.484679033243932	7.65364428231073	1.95362215404162e-14
industry13	2.68068439475242	0.515944218138088	5.19568647251505	2.03965766528278e-07
industry15	2.97087015271605	0.556065963109785	5.34265779567145	9.1593577656541e-08
industry17	0.764325092609702	0.546834159877771	1.3977274074841	0.16219494067662
industry19	2.35981354023685	0.487789390330874	4.83777135586355	1.3130305892197e-06
industry21	3.06304424638107	0.826792087805898	3.70473338044349	0.000211613197325631
industry23	0.616587167532	1.25475836694708	0.491399128130303	0.623144180777563
industry25	2.98850062784513	0.478335704898971	6.24770552822591	4.16526002870404e-10
industry27	2.22490783190515	0.562747876166405	3.95364945144145	7.69681506213918e-05
industry29	2.66518374764153	0.439646045972374	6.06211240168642	1.34345270097875e-09
industry31	4.64763569902456	0.67060427070744	6.93051908858504	4.19299182294238e-12
industry33	0.892467951507284	0.690602220262629	1.29230391290646	0.196251917427278
industry35	2.21420319328473	0.78050478908819	2.83688610786287	0.00455558592350952
industry37	-0.551102548233558	1.29118088120513	-0.426820561127874	0.669510029319113
industry39	2.82556005442362	0.595829133025038	4.74223212295477	2.11376229021794e-06
industry41	3.56870240090544	0.660683105737497	5.40153421498773	6.60733330301783e-08
industry43	2.01337570991432	0.520069316981545	3.87136030558358	0.000108229676032157
industry45	1.08241445172307	0.949498043846443	1.13998597336565	0.254292144886723
industry47	0.973232495625294	0.50972631797622	1.90932361407067	0.0562203578843199
industry49	0.237713561229756	0.566800332292169	0.419395592568605	0.674927044663912
industry53	0.578079049244343	0.546355148310753	1.05806461425627	0.290025985522126
prompt.L:industry11	0.0363054729142903	0.237700446752107	0.15273624181343	0.878606279233509
prompt.L:industry13	0.574470368187175	0.268168822668034	2.14219670456737	0.0321776565893793
prompt.L:industry15	0.0481850715475724	0.273111886653153	0.176429785382305	0.859956306319484
prompt.L:industry17	1.17853211366253	0.380219087774258	3.09961322710407	0.00193773497606485
prompt.L:industry19	0.272615138752915	0.263858093071182	1.03318846725452	0.301515708878784
prompt.L:industry21	0.0193961881937081	0.371585050245051	0.052198516008426	0.958370515377153
prompt.L:industry23	1.09311037406343	0.701293157051174	1.55870674492218	0.119065804641128
prompt.L:industry25	0.214170599920448	0.247517841588303	0.865273382096953	0.386888756826876
prompt.L:industry27	-0.962252788842231	0.270922903468336	-3.55175873476748	0.000382665562609523
prompt.L:industry29	-0.0585392551421282	0.23621326914998	-0.247823737221805	0.804270788075028
prompt.L:industry31	-0.131785234559317	0.278319806036257	-0.473502897390453	0.635854434359078
prompt.L:industry33	-0.199198354380606	0.367241838098579	-0.542417376549387	0.587531011787949
prompt.L:industry35	-0.831106712711249	0.344466949598455	-2.41273281422229	0.0158334217240831
prompt.L:industry37	-0.899363008176826	0.752100561569315	-1.19580153789573	0.231774015648488
prompt.L:industry39	-0.832047476761861	0.274053340084716	-3.03607858420794	0.0023967688836968
prompt.L:industry41	0.306513656460017	0.295872348223552	1.03596587616368	0.300218062489417
prompt.L:industry43	0.255029807103962	0.265086415208174	0.962062906557039	0.336018005525821
prompt.L:industry45	0.521168994561178	0.546590758485766	0.953490315139951	0.340341700891726
prompt.L:industry47	-0.317384430356984	0.283203376048273	-1.12069437443036	0.262417977605005
prompt.L:industry49	0.496507397092016	0.35502108695695	1.39852931370305	0.161954176271402
prompt.L:industry53	0.0120263485515524	0.322959580272457	0.0372379371480686	0.970295290107134
